"Season","Race","Driver.of.The.Day","Team","driverId","dob","nationality","raceId","circuitId","date","time","fp1_date","fp1_time","fp2_date","fp2_time","fp3_date","fp3_time","quali_date","quali_time","sprint_date","sprint_time","age_at_race","afternoon_race","driverStandingsId","points","position","positionText","wins","num_stops","resultId","constructorId","number","grid","positionOrder","laps","milliseconds","fastestLap","fastestLapTime","fastestLapSpeed","statusId","raceTime","status","constructorStandingsId","constructor_points","constructor_position","constructor_positionText","constructor_wins","grid_to_position"
2022,"Australian Grand Prix","leclerc","Ferrari",844,1997-10-16,"Monegasque",1076,1,2022-04-10,"05:00:00","2022-04-08","03:00:00","2022-04-08","06:00:00","2022-04-09","03:00:00","2022-04-09","06:00:00","\N","\N",24,FALSE,71292,71,1,"1",2,1,25446,6,"16",1,1,58,"5266548","58","1:20.260","236.740",1,"1:27:46.548","Finished",28153,104,1,"1",2,0
2022,"Saudi Arabian Grand Prix","leclerc","Ferrari",844,1997-10-16,"Monegasque",1075,77,2022-03-27,"17:00:00","2022-03-25","14:00:00","2022-03-25","17:00:00","2022-03-26","14:00:00","2022-03-26","17:00:00","\N","\N",24,TRUE,71272,45,1,"1",1,1,25427,6,"16",2,2,50,"5059842","48","1:31.634","242.556",1,"+0.549","Finished",28143,78,1,"1",1,0
2021,"Abu Dhabi Grand Prix","raikkonen","Alfa Romeo",8,1979-10-17,"Finnish",1073,24,2021-12-12,"13:00:00","2021-12-10","\N","2021-12-10","\N","2021-12-11","\N","2021-12-11","\N","\N","\N",42,TRUE,70750,10,16,"16",0,1,25404,51,"7",18,19,25,"\N","23","1:29.698","211.951",23,"\N","Brakes",27929,13,9,"9",0,-1
2021,"Saudi Arabian Grand Prix","max_verstappen","Red Bull",830,1997-09-30,"Dutch",1072,77,2021-12-05,"17:30:00","2021-12-03","\N","2021-12-03","\N","2021-12-04","\N","2021-12-04","\N","\N","\N",24,TRUE,70720,369.5,1,"1",9,2,25367,9,"33",3,2,50,"7586943","35","1:31.488","242.943",1,"+11.825","Finished",27914,559.5,2,"2",10,1
2021,"Qatar Grand Prix","alonso","Alpine",4,1981-07-29,"Spanish",1051,78,2021-11-21,"14:00:00","2021-11-19","\N","2021-11-19","\N","2021-11-20","\N","2021-11-20","\N","\N","\N",40,TRUE,70716,77,10,"10",0,1,25348,214,"14",3,3,57,"5127928","48","1:26.682","223.437",1,"+59.457","Finished",27910,137,5,"5",1,0
2021,"São Paulo Grand Prix","hamilton","Mercedes",1,1985-01-07,"British",1071,18,2021-11-14,"17:00:00","2021-11-12","\N","2021-11-13","\N","\N","\N","2021-11-12","\N","2021-11-13","\N",36,TRUE,70677,318.5,2,"2",6,4,25326,131,"44",10,1,71,"5542851","46","1:11.982","215.503",1,"1:32:22.851","Finished",27893,521.5,1,"1",7,9
2021,"Mexico City Grand Prix","perez","Red Bull",815,1990-01-26,"Mexican",1070,32,2021-11-07,"19:00:00","2021-11-05","\N","2021-11-05","\N","2021-11-06","\N","2021-11-06","\N","\N","\N",31,TRUE,70660,165,4,"4",1,1,25308,9,"11",4,3,71,"5936838","49","1:19.468","194.976",1,"+17.752","Finished",27884,477.5,2,"2",10,1
2021,"United States Grand Prix","max_verstappen","Red Bull",830,1997-09-30,"Dutch",1069,69,2021-10-24,"19:00:00","2021-10-22","\N","2021-10-22","\N","2021-10-23","\N","2021-10-23","\N","\N","\N",24,TRUE,70636,287.5,1,"1",8,2,25286,9,"33",1,1,56,"5676552","52","1:39.096","200.278",1,"1:34:36.552","Finished",27874,437.5,2,"2",9,0
2021,"Turkish Grand Prix","sainz","Ferrari",832,1994-09-01,"Spanish",1067,5,2021-10-10,"12:00:00","2021-10-08","\N","2021-10-08","\N","2021-10-09","\N","2021-10-09","\N","\N","\N",27,TRUE,70621,116.5,6,"6",0,1,25273,6,"55",19,8,58,"5515629","49","1:31.921","209.057",1,"+51.526","Finished",27866,232.5,4,"4",0,11
2021,"Russian Grand Prix","norris","McLaren",846,1999-11-13,"British",1066,71,2021-09-26,"12:00:00","2021-09-24","\N","2021-09-24","\N","2021-09-25","\N","2021-09-25","\N","\N","\N",21,TRUE,70596,139,4,"4",0,2,25252,1,"4",1,7,53,"5528225","39","1:37.423","216.096",1,"+1:27.224","Finished",27855,234,3,"3",1,-6
2021,"Italian Grand Prix","ricciardo","McLaren",817,1989-07-01,"Australian",1065,14,2021-09-12,"13:00:00","2021-09-10","\N","2021-09-11","\N","\N","\N","2021-09-10","\N","2021-09-11","\N",32,TRUE,70578,83,8,"8",1,1,25226,1,"3",2,1,53,"4914365","53","1:24.812","245.894",1,"1:21:54.365","Finished",27845,215,3,"3",1,1
2021,"Dutch Grand Prix","perez","Red Bull",815,1990-01-26,"Mexican",1064,39,2021-09-05,"13:00:00","2021-09-03","\N","2021-09-03","\N","2021-09-04","\N","2021-09-04","\N","\N","\N",31,TRUE,70555,108,5,"5",1,2,25213,9,"11",0,8,71,"\N","59","1:13.461","208.714",11,"\N","+1 Lap",27834,332.5,2,"2",8,-8
2021,"Hungarian Grand Prix","alonso","Alpine",4,1981-07-29,"Spanish",1062,11,2021-08-01,"13:00:00","2021-07-30","\N","2021-07-30","\N","2021-07-31","\N","2021-07-31","\N","\N","\N",40,TRUE,70529,38,11,"11",0,3,25169,214,"14",9,4,70,"7498850","41","1:20.359","196.264",1,"+15.651","Finished",27820,77,5,"5",1,5
2021,"British Grand Prix","leclerc","Ferrari",844,1997-10-16,"Monegasque",1061,9,2021-07-18,"14:00:00","2021-07-16","\N","2021-07-17","\N","\N","\N","2021-07-16","\N","2021-07-17","\N",23,TRUE,70476,80,6,"6",0,2,25147,6,"16",4,2,52,"7107155","45","1:30.569","234.159",1,"+3.871","Finished",27796,148,4,"4",0,2
2021,"Austrian Grand Prix","norris","McLaren",846,1999-11-13,"British",1060,70,2021-07-04,"13:00:00","2021-07-02","\N","2021-07-02","\N","2021-07-03","\N","2021-07-03","\N","\N","\N",21,TRUE,70454,101,4,"4",0,1,25128,1,"4",2,3,71,"5054562","62","1:08.471","227.027",1,"+20.019","Finished",27785,141,3,"3",0,-1
2021,"Styrian Grand Prix","leclerc","Ferrari",844,1997-10-16,"Monegasque",1058,70,2021-06-27,"13:00:00","2021-06-25","\N","2021-06-25","\N","2021-06-26","\N","2021-06-26","\N","\N","\N",23,TRUE,70416,58,6,"6",0,2,25112,6,"16",7,7,70,"\N","64","1:08.738","226.145",11,"\N","+1 Lap",27766,108,4,"4",0,0
2021,"French Grand Prix","max_verstappen","Red Bull",830,1997-09-30,"Dutch",1059,34,2021-06-20,"13:00:00","2021-06-18","\N","2021-06-18","\N","2021-06-19","\N","2021-06-19","\N","\N","\N",23,TRUE,70392,131,1,"1",3,2,25086,9,"33",1,1,53,"5245770","35","1:36.404","218.156",1,"1:27:25.770","Finished",27754,215,1,"1",4,0
2021,"Azerbaijan Grand Prix","vettel","Aston Martin",20,1987-07-03,"German",1057,73,2021-06-06,"12:00:00","2021-06-04","\N","2021-06-04","\N","2021-06-05","\N","2021-06-05","\N","\N","\N",33,TRUE,70385,28,9,"9",0,3,25067,117,"5",11,2,51,"8017795","41","1:44.890","206.032",1,"+1.385","Finished",27748,37,6,"6",0,9
2021,"Monaco Grand Prix","vettel","Aston Martin",20,1987-07-03,"German",1056,6,2021-05-23,"13:00:00","2021-05-21","\N","2021-05-21","\N","2021-05-22","\N","2021-05-22","\N","\N","\N",33,TRUE,70365,10,11,"11",0,1,25050,117,"5",8,5,78,"5989411","33","1:15.316","159.503",1,"+52.591","Finished",27738,19,5,"5",0,3
2021,"Spanish Grand Prix","hamilton","Mercedes",1,1985-01-07,"British",1055,4,2021-05-09,"13:00:00","2021-05-07","\N","2021-05-07","\N","2021-05-08","\N","2021-05-08","\N","\N","\N",36,TRUE,70331,94,1,"1",3,2,25026,131,"44",1,1,66,"5587680","54","1:20.665","208.640",1,"1:33:07.680","Finished",27723,141,1,"1",3,0
2021,"Portuguese Grand Prix","perez","Red Bull",815,1990-01-26,"Mexican",1054,75,2021-05-02,"14:00:00","2021-04-30","\N","2021-04-30","\N","2021-05-01","\N","2021-05-01","\N","\N","\N",31,TRUE,70315,22,6,"6",0,3,25009,9,"11",4,4,66,"5711156","55","1:20.643","207.715",1,"+39.735","Finished",27714,83,2,"2",1,0
2021,"Emilia Romagna Grand Prix","norris","McLaren",846,1999-11-13,"British",1053,21,2021-04-18,"13:00:00","2021-04-16","\N","2021-04-16","\N","2021-04-17","\N","2021-04-17","\N","\N","\N",21,TRUE,70294,27,3,"3",0,2,24988,1,"4",7,3,63,"7378300","63","1:18.259","225.819",1,"+23.702","Finished",27705,41,3,"3",0,4
2021,"Bahrain Grand Prix","perez","Red Bull",815,1990-01-26,"Mexican",1052,3,2021-03-28,"15:00:00","2021-03-26","\N","2021-03-26","\N","2021-03-27","\N","2021-03-27","\N","\N","\N",31,TRUE,70235,10,5,"5",0,3,24970,9,"11",0,5,56,"5575944","44","1:33.970","207.334",1,"+52.047","Finished",27674,28,2,"2",0,-5
2020,"Abu Dhabi Grand Prix","max_verstappen","Red Bull",830,1997-09-30,"Dutch",1047,24,2020-12-13,"13:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",23,TRUE,70206,214,3,"3",2,1,24946,9,"33",1,1,55,"5788645","14","1:40.958","198.046",1,"1:36:28.645","Finished",27661,319,2,"2",2,0
2020,"Sakhir Grand Prix","russell","Mercedes",847,1998-02-15,"British",1046,3,2020-12-06,"17:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",22,TRUE,70155,3,18,"18",0,4,24934,131,"63",2,9,87,"5493670","80","0:55.404","230.214",1,"+18.556","Finished",27643,540,1,"1",13,-7
2020,"Bahrain Grand Prix","grosjean","Haas",154,1986-04-17,"French",1045,3,2020-11-29,"14:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",34,TRUE,70135,2,18,"18",0,NA,24925,210,"8",19,20,0,"\N","\N","\N","\N",4,"\N","Collision",27642,3,9,"9",0,-1
2020,"Turkish Grand Prix","vettel","Ferrari",20,1987-07-03,"German",1044,5,2020-11-15,"10:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",33,FALSE,70108,33,13,"13",0,2,24888,6,"5",11,3,58,"6171273","53","1:39.662","192.819",1,"+31.960","Finished",27624,130,6,"6",0,8
2020,"Emilia Romagna Grand Prix","raikkonen","Alfa Romeo",8,1979-10-17,"Finnish",1043,21,2020-11-01,"12:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",41,TRUE,70091,4,16,"16",0,1,24874,51,"7",18,9,63,"5334654","63","1:18.088","226.313",1,"+22.224","Finished",27619,8,8,"8",0,9
2020,"Portuguese Grand Prix","perez","Racing Point",815,1990-01-26,"Mexican",1042,75,2020-10-25,"12:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",30,TRUE,70062,74,6,"6",0,2,24852,211,"11",5,7,65,"\N","49","1:20.802","207.306",11,"\N","+1 Lap",27606,126,3,"3",0,-2
2020,"Eifel Grand Prix","hulkenberg","Racing Point",807,1987-08-19,"German",1041,20,2020-10-11,"13:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",33,TRUE,70056,10,15,"15",0,2,24833,211,"27",20,8,60,"5782237","58","1:30.733","204.256",1,"+32.596","Finished",27596,120,3,"3",0,12
2020,"Russian Grand Prix","max_verstappen","Red Bull",830,1997-09-30,"Dutch",1040,71,2020-09-27,"11:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",22,FALSE,70034,128,3,"3",1,1,24807,9,"33",2,2,53,"5648093","53","1:37.332","216.298",1,"+7.729","Finished",27591,192,2,"2",1,0
2020,"Tuscan Grand Prix","ricciardo","Renault",817,1989-07-01,"Australian",1039,76,2020-09-13,"13:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",31,TRUE,69992,53,7,"7",0,5,24789,4,"3",8,4,59,"8385477","57","1:20.426","234.774",1,"+10.417","Finished",27568,83,5,"5",0,4
2020,"Italian Grand Prix","gasly","Alpha Tauri",842,1996-02-07,"French",1038,14,2020-09-06,"13:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",24,TRUE,69959,43,8,"8",1,2,24766,213,"10",10,1,53,"6426056","34","1:24.037","248.162",1,"1:47:06.056","Finished",27557,47,7,"7",1,9
2020,"Belgian Grand Prix","gasly","Alpha Tauri",842,1996-02-07,"French",1037,13,2020-08-30,"13:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",24,TRUE,69938,18,12,"12",0,1,24753,213,"10",12,8,44,"5096132","29","1:47.839","233.815",1,"+47.371","Finished",27547,20,7,"7",0,4
2020,"Spanish Grand Prix","vettel","Ferrari",20,1987-07-03,"German",1036,4,2020-08-16,"13:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",33,TRUE,69920,16,11,"11",0,1,24732,6,"5",11,7,65,"\N","48","1:22.707","202.618",11,"\N","+1 Lap",27534,61,5,"5",0,4
2020,"70th Anniversary Grand Prix","max_verstappen","Red Bull",830,1997-09-30,"Dutch",1035,9,2020-08-09,"13:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",22,TRUE,69909,77,2,"2",1,2,24706,9,"33",4,1,52,"4781993","46","1:29.465","237.049",1,"1:19:41.993","Finished",27531,113,2,"2",1,3
2020,"British Grand Prix","hamilton","Mercedes",1,1985-01-07,"British",1034,9,2020-08-02,"13:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",35,TRUE,69872,88,1,"1",3,1,24686,131,"44",1,1,52,"5281283","45","1:29.238","237.652",1,"1:28:01.283","Finished",27513,146,1,"1",4,0
2020,"Hungarian Grand Prix","max_verstappen","Red Bull",830,1997-09-30,"Dutch",1033,11,2020-07-19,"13:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",22,TRUE,69868,33,3,"3",0,2,24667,9,"33",7,2,70,"5781175","60","1:19.184","199.176",1,"+8.702","Finished",27511,55,2,"2",0,5
2020,"Styrian Grand Prix","perez","Racing Point",815,1990-01-26,"Mexican",1032,70,2020-07-12,"13:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",30,TRUE,69814,16,5,"5",0,1,24651,211,"11",17,6,71,"5033070","68","1:07.188","231.362",1,"+1:02.387","Finished",27486,22,4,"4",0,11
2020,"Austrian Grand Prix","albon","Red Bull",848,1996-03-23,"Thai",1031,70,2020-07-05,"13:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",24,TRUE,70007,0,13,"13",0,3,24638,9,"23",4,13,67,"\N","50","1:08.432","227.156",40,"\N","Electronics",27581,0,9,"9",0,-9
2019,"Abu Dhabi Grand Prix","hulkenberg","Renault",807,1987-08-19,"German",1030,24,2019-12-01,"13:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",32,TRUE,69735,37,14,"14",0,1,24617,4,"27",9,12,54,"\N","52","1:43.274","193.605",11,"\N","+1 Lap",27457,91,5,"5",0,-3
2019,"Brazilian Grand Prix","max_verstappen","Red Bull",830,1997-09-30,"Dutch",1029,18,2019-11-17,"17:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",22,TRUE,69711,260,3,"3",3,3,24586,9,"33",1,1,71,"5594678","61","1:10.862","218.909",1,"1:33:14.678","Finished",27444,391,3,"3",3,0
2019,"United States Grand Prix","albon","Red Bull",848,1996-03-23,"Thai",1028,69,2019-11-03,"19:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",23,TRUE,69702,84,6,"6",0,3,24570,9,"23",6,5,56,"5713691","42","1:38.029","202.458",1,"+1:18.038","Finished",27434,366,3,"3",2,1
2019,"Mexican Grand Prix","max_verstappen","Red Bull",830,1997-09-30,"Dutch",1027,32,2019-10-27,"19:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",22,TRUE,69671,220,5,"5",2,1,24551,9,"33",4,6,71,"5877711","65","1:20.406","192.702",1,"+1:08.807","Finished",27424,341,3,"3",2,-2
2019,"Japanese Grand Prix","bottas","Mercedes",822,1989-08-28,"Finnish",1026,22,2019-10-13,"05:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",30,FALSE,69649,274,2,"2",3,2,24526,131,"77",3,1,52,"4906755","49","1:31.862","227.571",1,"1:21:46.755","Finished",27413,612,1,"1",12,2
2019,"Russian Grand Prix","vettel","Ferrari",20,1987-07-03,"German",1025,71,2019-09-29,"11:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",32,FALSE,69592,194,5,"5",1,1,24523,6,"5",3,18,26,"\N","16","1:38.245","214.288",75,"\N","Power loss",27385,409,2,"2",3,-15
2019,"Singapore Grand Prix","vettel","Ferrari",20,1987-07-03,"German",1024,15,2019-09-22,"12:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",32,TRUE,69572,194,5,"5",1,1,24486,6,"5",3,1,61,"7113667","57","1:44.802","173.916",1,"1:58:33.667","Finished",27375,394,2,"2",3,2
2019,"Italian Grand Prix","leclerc","Ferrari",844,1997-10-16,"Monegasque",1023,14,2019-09-08,"13:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",21,TRUE,69553,182,4,"4",2,1,24466,6,"16",1,1,53,"4526665","47","1:23.009","251.235",1,"1:15:26.665","Finished",27365,351,2,"2",2,0
2019,"Belgian Grand Prix","norris","McLaren",846,1999-11-13,"British",1022,13,2019-09-01,"13:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",19,TRUE,69540,24,11,"11",0,1,24456,1,"4",11,11,43,"\N","21","1:48.321","232.774",5,"\N","Engine",27361,82,4,"4",0,0
2019,"Hungarian Grand Prix","max_verstappen","Red Bull",830,1997-09-30,"Dutch",1021,11,2019-08-04,"13:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",21,TRUE,69511,181,3,"3",2,2,24427,9,"33",1,2,70,"5721592","69","1:17.103","204.552",1,"+17.796","Finished",27344,244,3,"3",2,-1
2019,"German Grand Prix","max_verstappen","Red Bull",830,1997-09-30,"Dutch",1020,10,2019-07-28,"13:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",21,TRUE,69491,162,3,"3",2,5,24406,9,"33",2,1,64,"6271275","61","1:16.645","214.839",1,"1:44:31.275","Finished",27334,217,3,"3",2,1
2019,"British Grand Prix","leclerc","Ferrari",844,1997-10-16,"Monegasque",1019,9,2019-07-14,"13:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",21,TRUE,69453,120,5,"5",0,2,24388,6,"16",3,3,52,"4898569","47","1:29.313","237.452",1,"+30.117","Finished",27315,243,2,"2",0,0
2019,"Austrian Grand Prix","max_verstappen","Red Bull",830,1997-09-30,"Dutch",1018,70,2019-06-30,"13:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",21,TRUE,69431,126,3,"3",1,1,24366,9,"33",2,1,71,"4921822","60","1:07.475","230.378",1,"1:22:01.822","Finished",27304,169,3,"3",1,1
2019,"French Grand Prix","norris","McLaren",846,1999-11-13,"British",1017,34,2019-06-23,"13:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",19,TRUE,69420,14,12,"12",0,1,24354,1,"4",5,9,52,"\N","45","1:34.754","221.955",11,"\N","+1 Lap",27301,40,4,"4",0,-4
2019,"Canadian Grand Prix","vettel","Ferrari",20,1987-07-03,"German",1016,7,2019-06-09,"18:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",31,TRUE,69332,100,3,"3",0,1,24327,6,"5",1,2,70,"5350742","57","1:14.875","209.677",1,"+3.658","Finished",27265,172,2,"2",0,-1
2019,"Monaco Grand Prix","max_verstappen","Red Bull",830,1997-09-30,"Dutch",1015,6,2019-05-26,"13:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",21,TRUE,69311,78,4,"4",0,1,24309,9,"33",3,4,78,"6213974","9","1:16.229","157.593",1,"+5.537","Finished",27254,110,3,"3",0,-1
2019,"Spanish Grand Prix","max_verstappen","Red Bull",830,1997-09-30,"Dutch",1014,4,2019-05-12,"13:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",21,TRUE,69291,66,3,"3",0,2,24285,9,"33",4,3,66,"5758122","57","1:19.769","210.081",1,"+7.679","Finished",27244,87,3,"3",0,1
2019,"Azerbaijan Grand Prix","leclerc","Ferrari",844,1997-10-16,"Monegasque",1013,73,2019-04-28,"12:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",21,TRUE,69253,47,5,"5",0,2,24267,6,"16",8,5,51,"5582049","50","1:43.009","209.795",1,"+1:09.107","Finished",27235,99,2,"2",0,3
2019,"Chinese Grand Prix","albon","Red Bull",848,1996-03-23,"Thai",1012,17,2019-04-14,"06:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",23,FALSE,69242,3,13,"13",0,1,24252,5,"23",0,10,55,"\N","22","1:38.901","198.416",11,"\N","+1 Lap",27230,4,9,"9",0,-10
2019,"Bahrain Grand Prix","leclerc","Ferrari",844,1997-10-16,"Monegasque",1011,3,2019-03-31,"15:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",21,TRUE,69213,26,4,"4",0,2,24225,6,"16",1,3,57,"5667426","38","1:33.411","208.575",1,"+6.131","Finished",27215,48,2,"2",0,-2
2019,"Australian Grand Prix","bottas","Mercedes",822,1989-08-28,"Finnish",1010,1,2019-03-17,"05:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",29,FALSE,69749,26,1,"1",1,1,24203,131,"77",2,1,58,"5127325","57","1:25.580","223.075",1,"1:25:27.325","Finished",27193,44,1,"1",1,1
2018,"Abu Dhabi Grand Prix","alonso","McLaren",4,1981-07-29,"Spanish",1009,24,2018-11-25,"13:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",37,TRUE,69113,50,11,"11",0,1,24193,1,"14",15,11,54,"\N","53","1:42.393","195.271",11,"\N","+1 Lap",27176,62,6,"6",0,4
2018,"Brazilian Grand Prix","max_verstappen","Red Bull",830,1997-09-30,"Dutch",1008,18,2018-11-11,"17:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",21,TRUE,69094,234,5,"5",2,1,24164,9,"33",5,2,71,"5230535","61","1:11.578","216.720",1,"+1.469","Finished",27165,392,3,"3",4,3
2018,"Mexican Grand Prix","max_verstappen","Red Bull",830,1997-09-30,"Dutch",1007,32,2018-10-28,"19:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",21,TRUE,69074,216,5,"5",2,2,24143,9,"33",2,1,71,"5908851","66","1:19.186","195.670",1,"1:38:28.851","Finished",27155,362,3,"3",4,1
2018,"United States Grand Prix","max_verstappen","Red Bull",830,1997-09-30,"Dutch",1006,69,2018-10-21,"18:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",21,TRUE,69054,191,5,"5",1,1,24124,9,"33",18,2,56,"5659924","45","1:38.246","202.011",1,"+1.281","Finished",27145,337,3,"3",3,16
2018,"Japanese Grand Prix","ricciardo","Red Bull",817,1989-07-01,"Australian",1005,22,2018-10-07,"05:10:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",29,FALSE,69012,146,6,"6",2,1,24106,9,"3",15,4,53,"5256557","50","1:33.187","224.336",1,"+19.495","Finished",27125,319,3,"3",3,11
