"resultId","raceId","driverId","constructorId","grid","positionOrder","laps","milliseconds","fastestLap","fastestLapTime","fastestLapSpeed","statusId","raceTime","year","circuitId","date","time","fp1_date","fp1_time","fp2_date","fp2_time","fp3_date","fp3_time","quali_date","quali_time","sprint_date","sprint_time","Race_name","driverRef","nationality.x","dob_driver","age_at_race","driverStandingsId","points","position","positionText","wins","num_stops","status","name","Driver.of.The.Day","Team","driverId_driverofday","dob","nationality.y","driver.of.day.ind"
22927,948,835,4,13,11,57,"6578964","14","1:32.955","205.376",1,"+1:23.399",2016,1,2016-03-20,"05:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Australian Grand Prix","jolyon_palmer","British",1991-01-20,31,68096,0,11,"11",0,2,"Finished","Renault","grosjean","Haas",154,1986-04-17,"French",0
22928,948,825,4,14,12,57,"6581171","45","1:32.452","206.494",1,"+1:25.606",2016,1,2016-03-20,"05:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Australian Grand Prix","kevin_magnussen","Danish",1992-10-05,18,68097,0,12,"12",0,3,"Finished","Renault","grosjean","Haas",154,1986-04-17,"French",0
22929,948,815,10,9,13,57,"6587264","39","1:32.780","205.764",1,"+1:31.699",2016,1,2016-03-20,"05:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Australian Grand Prix","perez","Mexican",1990-01-26,26,68098,0,13,"13",0,2,"Finished","Force India","grosjean","Haas",154,1986-04-17,"French",0
22930,948,18,1,12,14,56,"\N","33","1:31.684","208.223",11,"\N",2016,1,2016-03-20,"05:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Australian Grand Prix","button","British",1980-01-19,19,68099,0,14,"14",0,3,"+1 Lap","McLaren","grosjean","Haas",154,1986-04-17,"French",0
22931,948,831,15,17,15,56,"\N","48","1:32.711","205.917",11,"\N",2016,1,2016-03-20,"05:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Australian Grand Prix","nasr","Brazilian",1992-08-21,28,68100,0,15,"15",0,2,"+1 Lap","Sauber","grosjean","Haas",154,1986-04-17,"French",0
22932,948,836,209,21,16,56,"\N","34","1:32.673","206.001",11,"\N",2016,1,2016-03-20,"05:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Australian Grand Prix","wehrlein","German",1994-10-18,18,68101,0,16,"16",0,3,"+1 Lap","Manor Marussia","grosjean","Haas",154,1986-04-17,"French",0
22933,948,828,15,15,17,38,"\N","15","1:33.892","203.327",5,"\N",2016,1,2016-03-20,"05:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Australian Grand Prix","ericsson","Swedish",1990-09-02,19,68102,0,17,"17",0,3,"Engine","Sauber","grosjean","Haas",154,1986-04-17,"French",0
22934,948,8,6,4,18,21,"\N","21","1:30.701","210.480",5,"\N",2016,1,2016-03-20,"05:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Australian Grand Prix","raikkonen","Finnish",1979-10-17,18,68103,0,18,"18",0,2,"Engine","Ferrari","grosjean","Haas",154,1986-04-17,"French",0
22935,948,837,209,22,19,17,"\N","15","1:33.847","203.424",26,"\N",2016,1,2016-03-20,"05:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Australian Grand Prix","haryanto","Indonesian",1993-01-22,26,68104,0,19,"19",0,1,"Mechanical","Manor Marussia","grosjean","Haas",154,1986-04-17,"French",0
22936,948,821,210,20,20,16,"\N","4","1:32.998","205.281",4,"\N",2016,1,2016-03-20,"05:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Australian Grand Prix","gutierrez","Mexican",1991-08-05,28,68105,0,20,"20",0,NA,"Collision","Haas","grosjean","Haas",154,1986-04-17,"French",0
22937,948,4,1,11,21,16,"\N","14","1:32.553","206.268",4,"\N",2016,1,2016-03-20,"05:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Australian Grand Prix","alonso","Spanish",1981-07-29,28,68106,0,21,"21",0,1,"Collision","McLaren","grosjean","Haas",154,1986-04-17,"French",0
22938,948,826,9,18,22,0,"\N","\N","\N","\N",31,"\N",2016,1,2016-03-20,"05:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Australian Grand Prix","kvyat","Russian",1994-04-26,18,68107,0,22,"22",0,NA,"Retired","Red Bull","grosjean","Haas",154,1986-04-17,"French",0
22939,949,3,131,2,1,57,"5614696","41","1:34.482","206.210",1,"1:33:34.696",2016,3,2016-04-03,"15:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Bahrain Grand Prix","rosberg","German",1985-06-27,16,67571,50,1,"1",2,3,"Finished","Mercedes","grosjean","Haas",154,1986-04-17,"French",0
22940,949,8,6,4,2,57,"5624978","39","1:35.158","204.745",1,"+10.282",2016,3,2016-04-03,"15:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Bahrain Grand Prix","raikkonen","Finnish",1979-10-17,18,67588,18,4,"4",0,3,"Finished","Ferrari","grosjean","Haas",154,1986-04-17,"French",0
22941,949,1,131,1,3,57,"5644844","43","1:34.677","205.785",1,"+30.148",2016,3,2016-04-03,"15:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Bahrain Grand Prix","hamilton","British",1985-01-07,18,67572,33,2,"2",0,3,"Finished","Mercedes","grosjean","Haas",154,1986-04-17,"French",0
22942,949,817,9,5,4,57,"5677190","44","1:36.064","202.814",1,"+1:02.494",2016,3,2016-04-03,"15:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Bahrain Grand Prix","ricciardo","Australian",1989-07-01,18,67574,24,3,"3",0,3,"Finished","Red Bull","grosjean","Haas",154,1986-04-17,"French",0
22943,949,154,210,9,5,57,"5692995","42","1:36.095","202.749",1,"+1:18.299",2016,3,2016-04-03,"15:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Bahrain Grand Prix","grosjean","French",1986-04-17,18,67576,18,5,"5",0,3,"Finished","Haas","grosjean","Haas",154,1986-04-17,"French",1
22944,949,830,5,10,6,57,"5695625","49","1:35.504","204.004",1,"+1:20.929",2016,3,2016-04-03,"15:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Bahrain Grand Prix","max_verstappen","Dutch",1997-09-30,16,67580,9,8,"8",0,3,"Finished","Toro Rosso","grosjean","Haas",154,1986-04-17,"French",0
22945,949,826,9,15,7,56,"\N","36","1:35.678","203.633",11,"\N",2016,3,2016-04-03,"15:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Bahrain Grand Prix","kvyat","Russian",1994-04-26,28,67592,6,10,"10",0,3,"+1 Lap","Red Bull","grosjean","Haas",154,1986-04-17,"French",0
22946,949,13,3,7,8,56,"\N","31","1:37.560","199.704",11,"\N",2016,3,2016-04-03,"15:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Bahrain Grand Prix","massa","Brazilian",1981-04-25,18,67575,14,7,"7",0,2,"+1 Lap","Williams","grosjean","Haas",154,1986-04-17,"French",0
22947,949,822,3,6,9,56,"\N","37","1:37.077","200.698",11,"\N",2016,3,2016-04-03,"15:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Bahrain Grand Prix","bottas","Finnish",1989-08-28,18,67578,6,11,"11",0,3,"+1 Lap","Williams","grosjean","Haas",154,1986-04-17,"French",0
22948,949,838,1,12,10,56,"\N","44","1:36.121","202.694",11,"\N",2016,3,2016-04-03,"15:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Bahrain Grand Prix","vandoorne","Belgian",1992-03-26,18,67593,1,13,"13",0,3,"+1 Lap","McLaren","grosjean","Haas",154,1986-04-17,"French",0
22949,949,825,4,22,11,56,"\N","40","1:36.730","201.418",11,"\N",2016,3,2016-04-03,"15:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Bahrain Grand Prix","kevin_magnussen","Danish",1992-10-05,20,67582,0,14,"14",0,3,"+1 Lap","Renault","grosjean","Haas",154,1986-04-17,"French",0
22950,949,828,15,17,12,56,"\N","32","1:38.003","198.802",11,"\N",2016,3,2016-04-03,"15:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Bahrain Grand Prix","ericsson","Swedish",1990-09-02,18,67587,0,16,"16",0,2,"+1 Lap","Sauber","grosjean","Haas",154,1986-04-17,"French",0
22951,949,836,209,16,13,56,"\N","43","1:35.448","204.123",11,"\N",2016,3,2016-04-03,"15:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Bahrain Grand Prix","wehrlein","German",1994-10-18,26,67586,0,18,"18",0,3,"+1 Lap","Manor Marussia","grosjean","Haas",154,1986-04-17,"French",0
22952,949,831,15,21,14,56,"\N","49","1:35.360","204.312",11,"\N",2016,3,2016-04-03,"15:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Bahrain Grand Prix","nasr","Brazilian",1992-08-21,34,67585,0,19,"19",0,3,"+1 Lap","Sauber","grosjean","Haas",154,1986-04-17,"French",0
22953,949,807,10,8,15,56,"\N","53","1:35.188","204.681",11,"\N",2016,3,2016-04-03,"15:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Bahrain Grand Prix","hulkenberg","German",1987-08-19,18,67577,6,9,"9",0,4,"+1 Lap","Force India","grosjean","Haas",154,1986-04-17,"French",0
22954,949,815,10,18,16,56,"\N","39","1:36.067","202.808",11,"\N",2016,3,2016-04-03,"15:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Bahrain Grand Prix","perez","Mexican",1990-01-26,18,67583,0,17,"17",0,3,"+1 Lap","Force India","grosjean","Haas",154,1986-04-17,"French",0
22955,949,837,209,20,17,56,"\N","47","1:36.685","201.512",11,"\N",2016,3,2016-04-03,"15:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Bahrain Grand Prix","haryanto","Indonesian",1993-01-22,18,67589,0,21,"21",0,3,"+1 Lap","Manor Marussia","grosjean","Haas",154,1986-04-17,"French",0
22956,949,832,5,11,18,29,"\N","22","1:38.408","197.983",31,"\N",2016,3,2016-04-03,"15:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Bahrain Grand Prix","sainz","Spanish",1994-09-01,26,67579,2,12,"12",0,2,"Retired","Toro Rosso","grosjean","Haas",154,1986-04-17,"French",0
22957,949,821,210,13,19,9,"\N","2","1:39.341","196.124",31,"\N",2016,3,2016-04-03,"15:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Bahrain Grand Prix","gutierrez","Mexican",1991-08-05,18,67590,0,22,"22",0,1,"Retired","Haas","grosjean","Haas",154,1986-04-17,"French",0
22958,949,18,1,14,20,6,"\N","3","1:39.427","195.954",131,"\N",2016,3,2016-04-03,"15:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Bahrain Grand Prix","button","British",1980-01-19,18,67584,0,20,"20",0,NA,"Power Unit","McLaren","grosjean","Haas",154,1986-04-17,"French",0
22959,949,20,6,3,21,0,"\N","\N","\N","\N",5,"\N",2016,3,2016-04-03,"15:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Bahrain Grand Prix","vettel","German",1987-07-03,36,67573,15,6,"6",0,NA,"Engine","Ferrari","grosjean","Haas",154,1986-04-17,"French",0
22960,949,835,4,19,22,0,"\N","\N","\N","\N",9,"\N",2016,3,2016-04-03,"15:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Bahrain Grand Prix","jolyon_palmer","British",1991-01-20,28,67581,0,15,"15",0,NA,"Hydraulics","Renault","grosjean","Haas",154,1986-04-17,"French",0
22961,950,3,131,1,1,56,"5933891","38","1:40.418","195.419",1,"1:38:53.891",2016,17,2016-04-17,"06:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Chinese Grand Prix","rosberg","German",1985-06-27,26,67594,75,1,"1",3,2,"Finished","Mercedes","kvyat","Red Bull",826,1994-04-26,"Russian",0
22962,950,20,6,4,2,56,"5971667","37","1:40.610","195.046",1,"+37.776",2016,17,2016-04-17,"06:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Chinese Grand Prix","vettel","German",1987-07-03,31,67596,33,4,"4",0,3,"Finished","Ferrari","kvyat","Red Bull",826,1994-04-26,"Russian",0
22963,950,826,9,6,3,56,"5979827","38","1:41.546","193.248",1,"+45.936",2016,17,2016-04-17,"06:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Chinese Grand Prix","kvyat","Russian",1994-04-26,31,67615,21,7,"7",0,3,"Finished","Red Bull","kvyat","Red Bull",826,1994-04-26,"Russian",1
22964,950,817,9,2,4,56,"5986579","55","1:41.015","194.264",1,"+52.688",2016,17,2016-04-17,"06:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Chinese Grand Prix","ricciardo","Australian",1989-07-01,18,67597,36,3,"3",0,3,"Finished","Red Bull","kvyat","Red Bull",826,1994-04-26,"Russian",0
22965,950,8,6,3,5,56,"5999763","40","1:40.593","195.079",1,"+1:05.872",2016,17,2016-04-17,"06:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Chinese Grand Prix","raikkonen","Finnish",1979-10-17,28,67611,28,5,"5",0,3,"Finished","Ferrari","kvyat","Red Bull",826,1994-04-26,"Russian",0
22966,950,13,3,10,6,56,"6009402","34","1:41.815","192.737",1,"+1:15.511",2016,17,2016-04-17,"06:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Chinese Grand Prix","massa","Brazilian",1981-04-25,28,67598,22,6,"6",0,2,"Finished","Williams","kvyat","Red Bull",826,1994-04-26,"Russian",0
22967,950,1,131,22,7,56,"6012121","32","1:40.662","194.945",1,"+1:18.230",2016,17,2016-04-17,"06:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Chinese Grand Prix","hamilton","British",1985-01-07,26,67595,39,2,"2",0,5,"Finished","Mercedes","kvyat","Red Bull",826,1994-04-26,"Russian",0
22968,950,830,5,9,8,56,"6013159","41","1:40.399","195.456",1,"+1:19.268",2016,17,2016-04-17,"06:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Chinese Grand Prix","max_verstappen","Dutch",1997-09-30,31,67603,13,9,"9",0,3,"Finished","Toro Rosso","kvyat","Red Bull",826,1994-04-26,"Russian",0
22969,950,832,5,8,9,56,"6018018","35","1:41.485","193.364",1,"+1:24.127",2016,17,2016-04-17,"06:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Chinese Grand Prix","sainz","Spanish",1994-09-01,18,67602,4,12,"12",0,3,"Finished","Toro Rosso","kvyat","Red Bull",826,1994-04-26,"Russian",0
22970,950,822,3,5,10,56,"6020083","23","1:41.558","193.225",1,"+1:26.192",2016,17,2016-04-17,"06:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Chinese Grand Prix","bottas","Finnish",1989-08-28,26,67601,7,10,"10",0,3,"Finished","Williams","kvyat","Red Bull",826,1994-04-26,"Russian",0
22971,950,815,10,7,11,56,"6028174","30","1:41.846","192.679",1,"+1:34.283",2016,17,2016-04-17,"06:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Chinese Grand Prix","perez","Mexican",1990-01-26,20,67606,0,15,"15",0,3,"Finished","Force India","kvyat","Red Bull",826,1994-04-26,"Russian",0
22972,950,4,1,11,12,56,"6031144","36","1:42.226","191.962",1,"+1:37.253",2016,17,2016-04-17,"06:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Chinese Grand Prix","alonso","Spanish",1981-07-29,34,67614,0,18,"18",0,2,"Finished","McLaren","kvyat","Red Bull",826,1994-04-26,"Russian",0
22973,950,18,1,12,13,56,"6035881","46","1:40.298","195.652",1,"+1:41.990",2016,17,2016-04-17,"06:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Chinese Grand Prix","button","British",1980-01-19,26,67607,0,19,"19",0,3,"Finished","McLaren","kvyat","Red Bull",826,1994-04-26,"Russian",0
22974,950,821,210,18,14,55,"\N","45","1:40.368","195.516",11,"\N",2016,17,2016-04-17,"06:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Chinese Grand Prix","gutierrez","Mexican",1991-08-05,31,67613,0,22,"22",0,3,"+1 Lap","Haas","kvyat","Red Bull",826,1994-04-26,"Russian",0
22975,950,807,10,13,15,55,"\N","48","1:39.824","196.581",11,"\N",2016,17,2016-04-17,"06:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Chinese Grand Prix","hulkenberg","German",1987-08-19,28,67600,6,11,"11",0,4,"+1 Lap","Force India","kvyat","Red Bull",826,1994-04-26,"Russian",0
22976,950,828,15,15,16,55,"\N","41","1:43.269","190.024",11,"\N",2016,17,2016-04-17,"06:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Chinese Grand Prix","ericsson","Swedish",1990-09-02,18,67610,0,17,"17",0,2,"+1 Lap","Sauber","kvyat","Red Bull",826,1994-04-26,"Russian",0
22977,950,825,4,17,17,55,"\N","22","1:42.311","191.803",11,"\N",2016,17,2016-04-17,"06:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Chinese Grand Prix","kevin_magnussen","Danish",1992-10-05,18,67605,0,14,"14",0,3,"+1 Lap","Renault","kvyat","Red Bull",826,1994-04-26,"Russian",0
22978,950,836,209,21,18,55,"\N","48","1:41.489","193.356",11,"\N",2016,17,2016-04-17,"06:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Chinese Grand Prix","wehrlein","German",1994-10-18,28,67609,0,20,"20",0,3,"+1 Lap","Manor Marussia","kvyat","Red Bull",826,1994-04-26,"Russian",0
22979,950,154,210,14,19,55,"\N","47","1:39.923","196.387",11,"\N",2016,17,2016-04-17,"06:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Chinese Grand Prix","grosjean","French",1986-04-17,31,67599,18,8,"8",0,4,"+1 Lap","Haas","kvyat","Red Bull",826,1994-04-26,"Russian",0
22980,950,831,15,16,20,55,"\N","42","1:40.582","195.100",11,"\N",2016,17,2016-04-17,"06:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Chinese Grand Prix","nasr","Brazilian",1992-08-21,26,67608,0,21,"21",0,3,"+1 Lap","Sauber","kvyat","Red Bull",826,1994-04-26,"Russian",0
22981,950,837,209,20,21,55,"\N","42","1:42.009","192.371",11,"\N",2016,17,2016-04-17,"06:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Chinese Grand Prix","haryanto","Indonesian",1993-01-22,31,67612,0,23,"23",0,3,"+1 Lap","Manor Marussia","kvyat","Red Bull",826,1994-04-26,"Russian",0
22982,950,835,4,19,22,55,"\N","26","1:42.232","191.951",11,"\N",2016,17,2016-04-17,"06:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Chinese Grand Prix","jolyon_palmer","British",1991-01-20,36,67604,0,16,"16",0,3,"+1 Lap","Renault","kvyat","Red Bull",826,1994-04-26,"Russian",0
22983,951,3,131,1,1,53,"5561997","52","1:39.094","212.452",1,"1:32:41.997",2016,71,2016-05-01,"12:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Russian Grand Prix","rosberg","German",1985-06-27,26,67617,100,1,"1",4,1,"Finished","Mercedes","kevin_magnussen","Renault",825,1992-10-05,"Danish",0
22984,951,1,131,10,2,53,"5587019","36","1:40.266","209.969",1,"+25.022",2016,71,2016-05-01,"12:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Russian Grand Prix","hamilton","British",1985-01-07,26,67618,57,2,"2",0,1,"Finished","Mercedes","kevin_magnussen","Renault",825,1992-10-05,"Danish",0
22985,951,8,6,3,3,53,"5593995","47","1:40.101","210.315",1,"+31.998",2016,71,2016-05-01,"12:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Russian Grand Prix","raikkonen","Finnish",1979-10-17,17,67634,43,3,"3",0,1,"Finished","Ferrari","kevin_magnussen","Renault",825,1992-10-05,"Danish",0
22986,951,822,3,2,4,53,"5612214","37","1:41.159","208.115",1,"+50.217",2016,71,2016-05-01,"12:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Russian Grand Prix","bottas","Finnish",1989-08-28,28,67624,19,9,"9",0,1,"Finished","Williams","kevin_magnussen","Renault",825,1992-10-05,"Danish",0
22987,951,13,3,4,5,53,"5636424","52","1:39.743","211.070",1,"+1:14.427",2016,71,2016-05-01,"12:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Russian Grand Prix","massa","Brazilian",1981-04-25,28,67621,32,6,"6",0,2,"Finished","Williams","kevin_magnussen","Renault",825,1992-10-05,"Danish",0
22988,951,4,1,14,6,52,"\N","52","1:40.347","209.799",11,"\N",2016,71,2016-05-01,"12:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Russian Grand Prix","alonso","Spanish",1981-07-29,28,67637,8,11,"11",0,1,"+1 Lap","McLaren","kevin_magnussen","Renault",825,1992-10-05,"Danish",0
22989,951,825,4,17,7,52,"\N","50","1:41.832","206.740",11,"\N",2016,71,2016-05-01,"12:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Russian Grand Prix","kevin_magnussen","Danish",1992-10-05,26,67628,6,12,"12",0,1,"+1 Lap","Renault","kevin_magnussen","Renault",825,1992-10-05,"Danish",1
22990,951,154,210,15,8,52,"\N","51","1:42.026","206.347",11,"\N",2016,71,2016-05-01,"12:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Russian Grand Prix","grosjean","French",1986-04-17,28,67622,22,7,"7",0,1,"+1 Lap","Haas","kevin_magnussen","Renault",825,1992-10-05,"Danish",0
22991,951,815,10,6,9,52,"\N","47","1:41.897","206.608",11,"\N",2016,71,2016-05-01,"12:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Russian Grand Prix","perez","Mexican",1990-01-26,18,67629,2,15,"15",0,2,"+1 Lap","Force India","kevin_magnussen","Renault",825,1992-10-05,"Danish",0
22992,951,18,1,12,10,52,"\N","50","1:41.720","206.968",11,"\N",2016,71,2016-05-01,"12:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Russian Grand Prix","button","British",1980-01-19,28,67630,1,16,"16",0,1,"+1 Lap","McLaren","kevin_magnussen","Renault",825,1992-10-05,"Danish",0
22993,951,817,9,5,11,52,"\N","46","1:41.179","208.074",11,"\N",2016,71,2016-05-01,"12:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Russian Grand Prix","ricciardo","Australian",1989-07-01,28,67620,36,4,"4",0,2,"+1 Lap","Red Bull","kevin_magnussen","Renault",825,1992-10-05,"Danish",0
22994,951,832,5,11,12,52,"\N","41","1:42.205","205.986",11,"\N",2016,71,2016-05-01,"12:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Russian Grand Prix","sainz","Spanish",1994-09-01,18,67625,4,14,"14",0,1,"+1 Lap","Toro Rosso","kevin_magnussen","Renault",825,1992-10-05,"Danish",0
22995,951,835,4,18,13,52,"\N","37","1:42.660","205.073",11,"\N",2016,71,2016-05-01,"12:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Russian Grand Prix","jolyon_palmer","British",1991-01-20,28,67627,0,18,"18",0,1,"+1 Lap","Renault","kevin_magnussen","Renault",825,1992-10-05,"Danish",0
22996,951,828,15,22,14,52,"\N","45","1:42.050","206.298",11,"\N",2016,71,2016-05-01,"12:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Russian Grand Prix","ericsson","Swedish",1990-09-02,18,67633,0,19,"19",0,2,"+1 Lap","Sauber","kevin_magnussen","Renault",825,1992-10-05,"Danish",0
